name,rate,reviews
라야와 마지막 드래곤,10,"최근에 봤던 디즈니 영화중에 가장 잼있는것 같음. 액션도 디즈니애니 스럽지않게 날카롭고 과감해지고. 스토리도 지루할틈없이 계속 상황이 몰이치면서 졸린구간이 없었음, 노래도 없이, 흔해빠진 러브스토리도 없이,  오직 작품성을 높였음,케릭터들도 개성있고, 비주얼도 상당히 좋아졌고, 모험이 한가득, 눈을 즐겁게해줬음 정말 좋았던 작품, 개인적으로 소울보다 상당히 감명깊었음, 블루레이로 출시하면 꼭 구매하고싶은 디즈니작품, 주토피아 이후로 괸찮았던 작품"
서복,2,정말 진심으로 지루해요
미나리,7,혼자 심심할 때 보기 좋은 영화
서복,6,박보검 보려고 보는 영화. 진부하다 느껴졌음
살인의 추억,7,비에 젖은 사건으로 시작해 마른 황토빛 밭에서 끝난다.
스파이더맨: 파 프롬 홈,10,스파이더맨 화이팅 너무재밌어요 다음편빨리나왔으면 ㅠㅠ
미나리,7,"작고 소박한 드라마를 지향한 것으로, 그냥 저예산 독립 영화로서  잘된 작품 정도로 생각.. 이것이 그렇게  크게 평가될 만한 작품인가는 의문.  그리고 그 기독교적 배경이 많이 거슬림. 재미교포 사회에 대해 곱게 볼 수 없는 부분이기도 한데, 오죽했으면 영화 중에도 여기 시골에 온 사람들은 한인교회를 피해서 온 거란 대사가 나오잖아. 정이삭 감독이 앞으로 더 좋은 영화를 만들기를 바라지만 이런 류의 정신세계가 지배하는 배경 하에선 기대할 수 없는 거임."
22년 후의 고백,1,말이되냐 전개가  ...노잼
굿바이 싱글,8,부킹안해. 부킹안해 안해
기생충,9,부르주아에 대한 불편한 편견과 프롤레타리아에 대한 아이러니한 동정심 이 두개가 충돌하는 영화
잭 스나이더의 저스티스 리그,7,"조스웨던 판과는 전혀 다른 영화라 할만하고 훨씬 낫다. 슈퍼맨과 떨거지들이 아닌 진짜 하나의 팀을 본 느낌이다. 다만 외부 사정을 제외하고 작품 자체만 놓고 보더라도, 시리즈의 미래를 기약할 수 있을 정도로 잘 만든 영화인지는 여전히 모르겠다."
워 위드 그랜파,5,"드니로와 페글리가 열심히 노렸했지만, 연출력이 받쳐주지 못했다."
덕혜옹주,10,왜 난 이영화를 이제야봤을까...부끄럽습니다 대한 독립 만세 대한민국
극장판 귀멸의 칼날: 무한열차편,10,꼭 보세요 모든게 완벽합니다 ㅠㅠ완벽한 연출!
미나리,7,10점 만점중에 7점정도? 그냥 잔잔한 스토리...전 할머니가 두분 계셧는데... 어릴적 생각이 많이 나네요.화투도 배우고 집에 늦게 들어오는 날이면 온 동네 저 이름 부르고 다니던 할머니가 생각 납니다. ㅎ
바닷마을 다이어리,8,사랑이라는 재료. 가족이란 음식. 삶과 죽음이라는 소스.
김광석,10,제발 진실이 밝혀지고 심판받는 날이 하루 빨리 오기를 기원합니다.
낙원의 밤,1,"이렇게까지 재미없고 지루하고 빈틈 많고 전달하려는 메시지는 없는 그런 영화도 참 오랜만이네요.엄태구 배우 목소리가 참 매력있다 생각했는데 잠깐 잠깐 극을 살리는 요소일때에만 그런가봐요.극 전반으로 오래 들으니 전달력도 굉장히 떨어지고 무슨 감정인지도 모르겠고..전여빈 배우, 요즘 빈센조에서 오바스런 연기를 자연스럽게 잘해서 좋게 보고 있었는데 여기선 자연스러울 연기를 오바스럽게 해서 보기 불편했어요."
노바디,10,완전 사이다 액션영화네요~통쾌하고 재밌어요!!
미나리,9,심심하다는 이야기듣고 봤는데 저는 참 감동적이고 연출.연기.작품성.영상.음악까지 다 좋았다고 생각합니다. 독립영화에 이 정도 수준이면 대단하네요.전 한예리씨 연기 넘 맘에 들었어요.
노바디,6,"<존윅>도 둔했지만, 이건 노골적 중년의 총질 회춘. 게다가 '노바디' 허치의 아버지는 권총 들기도 버거워보이는 <백투더퓨처> 박사 출신 노배우(무거운 샷건 들겠다고 굳이 우겼다고). 그냥 서있기도 힘들어 보여서 총 맞기보다는 어디 걸려 넘어지지나 않을까 조마조마. 이 영화는 그러니까 아무도nobody 아닌 중년남성들 대놓고 기 살려주기다. 총질과 X(성기)질이, 악당 일망타진과 오르가즘이 매한가지. 중년이 가족을 지키기 위해 악을 직접 처단하는 닳고 닳은 스토리의 무한변주. 이런 클리셰에 비하면 <낙원의 밤>의 클리셰가 낫다. 노바디 연기를 위해 2년을 트레이닝한 밥 오든커크 연기는 돋는다."
내겐 너무 어려운 연애,10,난 빵빵 터졌다.
빅쇼트,10,가진 사람은 배제되고 힘없는 사람들 사이에서 굴러가는 시한폭탄
컨테이젼,10,우한짱깨폐렴 적중 대박====
불어라 검풍아,8,이 정도면 정말 훌륭한거 아닌가?
내일의 기억,10,올해 최고의 영화입니다!!
내일의 기억,10,연기도 잘하고 재밌었어요
낙원의 밤,10,킬링 타임 영화에 뭔 개연성을 따지고 앉았어? 재미만 있구만... 영웅본색 좋아하던 남자들은 재밌게 볼 수 있음
내일의 기억,4,스릴러치곤 너무 진부했어요
내일의 기억,1,뭐라 쓸 말도 없다. 열글자나 채우라니
내일의 기억,2,
내일의 기억,2,진짜...영화 좀 잘 만들자.서예지고 뭐고 영화 왜 이리 후지냐.진짜.
트루먼 쇼,8,"처음 봤을 때 충격이 엄청났던 영화. 이제는 관음을 매개로 한 관찰프로들이 유행하는 시대라 그런지, 요즘 세대들이 보면 감동이 덜 할수도 있겠다. 가상세계를 탈출한 트루먼은 그 뒤로 행복했을까?"
서복,8,결말까지도 같았던 서복이란 존재의 평행 이론
반지의 제왕: 반지 원정대,10,내생에 최고의 영화..
명탐정 코난: 비색의 탄환,10,빨리  구매 하고 싶어요!!
도플갱어,7,
미나리,10,기생충이나 미나리나 감동이다이걸보고 아무것도 못느꼇다면 재대로 집중안한거다.해줄말은 이것뿐이다.내용을보지말고 전하려는 의도를 봐라 진짜 대단한영화라는걸안다 작품상 진짜아쉽다
낙원의 밤,10,볼 만합니다. 블루톤의 감성
서복,10,후반부부터 계속 울었다 나는^^ 삶(죽음)에 대해 깊이 생각해보게 만드는 영화다.
극장판 귀멸의 칼날: 무한열차편,10,눈물 콧물 질질 짰다ㅠㅠㅠㅠ
로망,10,오랜만에 울정도로 감동적이네요
더 파더,10,"우리 부모님이라면... 내가 치매환자라면 또는 돌봄가족이라면... 눈물이 펑펑 나기도 하도 생각할 거리도 많고... 많은 사람이 보면 좋겠다. 어쩔도리 없는 괴로운 상황에서 할 수 있는 일은 ""화창한 날은 짧으니"" 할 수 있을때 사랑하는 사람과 산책을 하는 것"
"아이, 토냐",10,마고로비 촌스러운듯 아름답고 고급진배우
내일의 기억,9,"진짜 기대이상,, 스토리도 반전있고 김강우배우님 나오는 영화처음봤는데 왜 이제봤지 싶은,, 잘봤습니다ㅠㅠ"
어느날,8,결말이 맘에 안드네요계속 잼나게 보다가 실망
극장판 귀멸의 칼날: 무한열차편,10,
내일의 기억,10,이거 보고 울었어요 너무 재밌고 감동적이에요
내일의 기억,10,개재밌고 개무서움ㄷㄷ
극장판 귀멸의 칼날: 무한열차편,10,"만화책 보러 갑니다,,, 이렇게 입덕하는구나"
미나리,9,"미나리처럼 미국이란 타지에 뿌리내리기 위해 고군분투하는 가족의 모습. California든 Arkansas든 어느 땅에 뿌리를 내리든 진심으로 서로를 도와가며 살아갈 수 있는 환경이 제일 좋은 곳이 아닐까. 제이콥이 ""할머니께서 자리를 참 잘 고르셨다""라고 하는 것 처럼."
내일의 기억,1,서예지 배우 이미지가 영화 스토리 집중에 방해가됨.
내일의 기억,6,이거 보면 딱딱해지나요?
내일의 기억,9,간만에 재밌다. 배우들 연기력도 훌륭하고. 기대한것보다 훨씬 재밌었다.
내일의 기억,1,딱딱한 연기와 딱딱한 연출 등 딱딱한 영화
먼 훗날 우리,9,"가을날의 동화, 첨밀밀 이후에 시대적 감성과 멜로를 절묘하게 연결시키는 중국영화를 본 기억이 없다. 머훗날우리는 중국의 현재와 그들의 멜로를 절묘하게 연결시킨 그 계보를 잇는 듯한 영화. 물론 오직 주동우이기에 가능한 진정성을 담은 로맨스"
스파이의 아내,10,취향이 아니라 자주 패스했던 감독인데 어느새 거장이 됐네
쓰리 빌보드,10,
소년시절의 너,7,"영화적 전개는 후반에 미숙한 면들이 드러나지만, 주동우는 그 가운데서도 끝까지 자신의 감정을 끌어가며 영화를 이끌어간다. 산사나무아래가 주동우라는 장르의 탄생이라면, 먼훗날우리는 그 장르에 몰입하게 하고, 소년시절의너는 그 장르의 매니아게 되게 만든다."
오늘부터 히어로,10,너무너무너무너무너무너무너무너무너무너무재미잇었어요ㅠㅠ
낙원의 밤,10,재미있는데 평점이 별로네....
조작된 도시,10,재미있어요. 후반부 통쾌합니다.
서복,4,개연성이 좀 떨어진다는 느낌..여기서? 저렇게 반응한다고? 굳이? 이걸 이기는데 저걸 못이기나 그런 디테일한 부분이 미흡해서 보다가 껐어요...
초록물고기,7,
녀녀녀,1,0점 만드세요  시급합니다
레 미제라블,10,강렬하게 자리잡힌 의구심이 쉽게 잊혀지지 않는다. 우리는 왜 분노하지 않는가세상이 평화로운것은 분노해야 할 이들이 분노하지 않기 때문이다.
내일의 기억,2,당한사람이 문제지 한 사람이 문제인가?ㅋㅋㅋㅋ
내일의 기억,10,김강우 눈빛과 표정연기가 좋았습니다. 서예지 이슈가 아니었다면 더 흥했을텐데.. 아쉽네요.
미나리,1,별 반개 찍어주로 들오왔음 쓰렉영화
인생,10,
내일의 기억,1,반전 이라고 하더니 너무 뻔한 스토리댓글하고 평점 에 속았네요
